heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,1,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,0,4,1,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,96,4,56,100,93
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,0,5,0,2,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,50,100,91
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,98,3,86,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,98,3,86,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,15,4,3,3,94,3,83,79,79
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,97,4,83,100,98
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,97,4,83,100,98
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,17,2,3,3,95,4,81,89,89
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,98,3,84,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,1,15,3,2,85,3,25,6,7
smoothgrad,seg_merge_hm,mean,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,0,16,3,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,97,4,80,100,98
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,97,4,80,100,98
smoothgrad,seg_merge_hm,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,97,4,80,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,3,80,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,10,2,3,2,96,3,77,83,83
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,3,97,3,79,92,90
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,97,4,75,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,5,2,1,1,96,3,62,71,70
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,0,7,1,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,0,7,1,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,96,4,64,100,95
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,2,93,4,43,43,43
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,3,4,1,3,93,4,43,43,43
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,98,3,84,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,0,16,2,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,1,13,4,3,87,3,25,7,8
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,80,100,98
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,12,4,2,2,93,4,75,75,75
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,97,4,78,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,97,3,70,100,96
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,2,5,0,2,93,3,40,29,29
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,96,4,64,100,95
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,96,4,64,100,95
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,3,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,97,3,80,100,98
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,0,12,3,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,0,11,4,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,11,1,3,2,96,4,73,92,89
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,4,7,4,3,91,4,50,36,37
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,7,5,2,1,93,3,70,58,59
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,0,12,2,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,0,12,2,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,97,4,75,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,1,11,9,1,88,3,25,8,9
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,1,11,9,2,88,3,25,8,9
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,8,2,11,3,96,3,73,80,79
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,97,4,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,97,4,71,100,96
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,1,97,3,75,90,88
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,0,10,4,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,0,10,4,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,97,4,71,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,2,96,4,69,90,87
smoothgrad,seg_merge_hm,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,7,3,4,3,94,4,64,70,69
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,12,1,3,1,97,3,80,92,91
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,0,13,3,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,0,13,3,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,97,4,76,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,7,6,3,2,92,4,64,54,55
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,11,2,3,3,95,4,73,85,83
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,97,3,77,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,0,10,4,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,0,10,4,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,97,4,71,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,97,4,71,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,3,96,4,69,90,87
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,97,3,75,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,97,3,75,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,97,3,75,100,97
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,97,4,69,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,97,4,69,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,97,4,69,100,96
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,97,3,57,100,93
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,96,4,50,100,91
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,96,4,50,100,91
smoothgrad,seg_merge_hm,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,96,4,50,100,91
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,6,3,3,1,95,3,67,67,67
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,2,7,3,2,91,3,40,22,23
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,0,9,3,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,97,4,69,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,97,4,69,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,8,1,3,3,96,4,67,89,86
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,1,96,3,50,75,71
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,2,0,0,0,0,0
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,3,0,0,0,0,0
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,96,4,50,100,91
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,2,96,4,50,100,91
smoothgrad,seg_merge_hm,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,3,96,4,50,100,91
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,97,3,77,100,97
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,1,9,2,2,90,3,25,10,11
smoothgrad,seg_merge_hm,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,1,9,2,3,90,3,25,10,11
smoothgrad,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,97,4,71,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,97,4,71,100,96
smoothgrad,seg_merge_hm,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,3,97,4,71,100,96
